code,taxon,tvk
3,Beris chalybata,NBNSYS0000007795
2,Beris clavipes,NBNSYS0000007796
3,Beris fuscipes,NBNSYS0000007797
3,Beris morrisii,NBNSYS0000007799
2,Beris vallata,NBNSYS0000007800
3,Chorisops tibialis,NBNSYS0000007802
4,Clitellaria ephippium,NBNSYS0000007803
3,Nemotelus nigrinus,NBNSYS0000007804
3,Nemotelus notatus,NBNSYS0000007805
3,Nemotelus pantherinus,NBNSYS0000007806
3,Nemotelus uliginosus,NBNSYS0000007807
2,Oxycera analis,NBNSYS0000007808
2,Oxycera dives,NBNSYS0000007809
2,Oxycera fallenii,NBNSYS0000007810
3,Oxycera leonina,NBNSYS0000007812
3,Oxycera morrisii,NBNSYS0000007813
3,Oxycera pardalina,NBNSYS0000007814
3,Oxycera pygmaea,NBNSYS0000007815
2,Oxycera rara,NBNSYS0000007816
3,Oxycera terminata,NBNSYS0000007817
2,Oxycera trilineata,NBNSYS0000007818
3,Vanoyia tenuicornis,NBNSYS0000007819
2,Pachygaster atra,NBNSYS0000007820
3,Eupachygaster tarsalis,NBNSYS0000007824
1,Chloromyia formosa,NBNSYS0000007825
2,Microchrysa cyaneiventris,NBNSYS0000007826
2,Microchrysa flavicornis,NBNSYS0000007827
2,Microchrysa polita,NBNSYS0000007828
2,Sargus bipunctatus,NBNSYS0000007829
4,Sargus cuprarius,NBNSYS0000007830
4,Sargus iridatus,NBNSYS0000007831
3,Sargus flavipes,NBNSYS0000007832
3,Odontomyia angulata,NBNSYS0000007833
2,Odontomyia argentata,NBNSYS0000007834
3,Odontomyia hydroleon,NBNSYS0000007835
2,Odontomyia tigrina,NBNSYS0000007837
3,Oplodontha viridula,NBNSYS0000007838
2,Stratiomys chamaeleon,NBNSYS0000007839
2,Stratiomys singularior,NBNSYS0000007840
2,Stratiomys longicornis,NBNSYS0000007841
2,Stratiomys potamida,NBNSYS0000007842
2,Solva marginata,NBNSYS0000007844
4,Solva varia,NBNSYS0000007845
3,Xylophagus ater,NBNSYS0000007846
3,Xylophagus cinctus,NBNSYS0000007847
4,Xylophagus junki,NBNSYS0000007848
2,Chrysopilus cristatus,NBNSYS0000007850
3,Chrysopilus erythrophthalmus,NBNSYS0000007851
4,Chrysopilus laetus,NBNSYS0000007852
5,Ptiolina obscura,NBNSYS0000007854
4,Spania nigra,NBNSYS0000007855
3,Symphoromyia immaculata,NBNSYS0000007857
2,Atherix ibis,NBNSYS0000007858
3,Atrichops crassipes,NBNSYS0000007860
4,Rhagio annulatus,NBNSYS0000007861
2,Rhagio lineola,NBNSYS0000007862
3,Rhagio notatus,NBNSYS0000007863
4,Rhagio strigosus,NBNSYS0000007865
2,Rhagio tringarius,NBNSYS0000007866
2,Chrysops caecutiens,NBNSYS0000007867
3,Chrysops relictus,NBNSYS0000007868
4,Chrysops sepulcralis,NBNSYS0000007869
3,Chrysops viduatus,NBNSYS0000007870
3,Haematopota bigoti,NBNSYS0000007871
3,Haematopota crassicornis,NBNSYS0000007872
3,Haematopota grandis,NBNSYS0000007873
3,Haematopota pluvialis,NBNSYS0000007874
3,Atylotus fulvus,NBNSYS0000007875
4,Atylotus plebeius,NBNSYS0000007877
3,Atylotus rusticus,NBNSYS0000007878
3,Hybomitra bimaculata,NBNSYS0000007879
3,Hybomitra ciureai,NBNSYS0000007880
4,Hybomitra distinguenda,NBNSYS0000007881
4,Hybomitra expollicata,NBNSYS0000007882
4,Hybomitra lurida,NBNSYS0000007883
3,Hybomitra micans,NBNSYS0000007884
4,Hybomitra montana,NBNSYS0000007885
3,Tabanus autumnalis,NBNSYS0000007887
5,Tabanus bovinus,NBNSYS0000007888
4,Tabanus sudeticus,NBNSYS0000007889
3,Tabanus bromius,NBNSYS0000007890
3,Tabanus maculicornis,NBNSYS0000007891
4,Tabanus miki,NBNSYS0000007892
4,Tabanus cordiger,NBNSYS0000007893
3,Tabanus glaucopis,NBNSYS0000007894
1,Asilus crabroniformis,NBNSYS0000007895
2,Dysmachus trigonus,NBNSYS0000007896
2,Eutolmus rufibarbis,NBNSYS0000007900
3,Machimus atricapillus,NBNSYS0000007901
3,Machimus rusticus,NBNSYS0000007902
4,Neoitamus cothurnatus,NBNSYS0000007903
3,Neoitamus cyanurus,NBNSYS0000007904
2,Pamponerus germanicus,NBNSYS0000007905
3,Philonicus albiceps,NBNSYS0000007906
3,Rhadiurgus variabilis,NBNSYS0000007907
2,Laphria flava,NBNSYS0000007908
2,Leptogaster cylindrica,NBNSYS0000007911
3,Leptogaster guttiventris,NBNSYS0000007912
4,Dasypogon diadema,NBNSYS0000007913
2,Dioctria atricapilla,NBNSYS0000007914
2,Dioctria baumhaueri,NBNSYS0000007915
3,Dioctria cothurnata,NBNSYS0000007916
2,Dioctria linearis,NBNSYS0000007917
2,Dioctria oelandica,NBNSYS0000007918
3,Dioctria rufipes,NBNSYS0000007919
2,Leptarthrus brevirostris,NBNSYS0000007920
3,Lasiopogon cinctus,NBNSYS0000007921
3,Dialineura anilis,NBNSYS0000007922
3,Thereva bipunctata,NBNSYS0000007927
4,Thereva fulva,NBNSYS0000007928
4,Thereva handlirschi,NBNSYS0000007929
4,Thereva inornata,NBNSYS0000007930
3,Thereva nobilitata,NBNSYS0000007931
4,Thereva strigata,NBNSYS0000007933
4,Thereva valida,NBNSYS0000007934
3,Scenopinus fenestralis,NBNSYS0000007935
3,Scenopinus niger,NBNSYS0000007937
2,Ogcodes gibbosus,NBNSYS0000007939
2,Ogcodes pallipes,NBNSYS0000007940
2,Bombylius canescens,NBNSYS0000007941
2,Bombylius discolor,NBNSYS0000007942
1,Bombylius major,NBNSYS0000007943
2,Bombylius minor,NBNSYS0000007944
1,Thyridanthrax fenestratus,NBNSYS0000007945
3,Villa cingulata,NBNSYS0000007946
2,Phthiria pulicaria,NBNSYS0000007949
4,Oxycera varipes,NBNSYS0000033213
3,Haematopota subcylindrica,NBNSYS0000042531
4,Hybomitra solstitialis,NBNSYS0000148975
3,Villa modesta,NBNSYS0000158982
3,Zabrachia tenella,NBNSYS0000159204
3,Pandivirilia melaleuca,NBNSYS0000173330
3,Cliorismia rustica,NBNSYS0000189329
3,Spiriverpa lunulata,NBNSYS0000189495
3,Acrosathe annulata,NBNSYS0100001416
2,Choerades gilvus,NBNSYS0100002378
2,Choerades marginatus,NBNSYS0100002379
4,Hybomitra muehlfeldi,NBNSYS0100003522
1,Ibisia marginata,NBNSYS0100003576
2,Leptarthrus vitripennis,NBNSYS0100003706
4,Machimus arthriticus,NBNSYS0100003860
3,Machimus cingulatus,NBNSYS0100003861
4,Neomochtherus pallipes,NBNSYS0100004212
3,Neopachygaster meromelas,NBNSYS0100004215
5,Ptiolina nigra,NBNSYS0100004993
1,Rhagio scolopaceus,NBNSYS0100005063
4,Thereva cinifera,NBNSYS0100005797
4,Thereva plebeja,NBNSYS0100005798
4,Villa venusta,NBNSYS0100005964
2,Xylomya maculata,NBNSYS0100006018
2,Chrysopilus asiliformis,NBNSYS0100020496
3,Symphoromyia crassicornis,NBNSYS0100020558
3,Beris geniculata,NBNSYS0100020660
2,Pachygaster leachii,NBNSYS0100020703
2,Odontomyia ornata,NBNSYS0100020744
2,Acrocera orbiculus,NBNSYS0100027431
4,Machimus cowini,NHMSYS0020734171
3,Chorisops nagatomii,NHMSYS0020734178
3,Oxycera nigricornis,NHMSYS0020734187
3,Atylotus latistriatus,NHMSYS0020734193
5,Haematopota italica,NHMSYS0020734197
5,Haematopota sp. A,NHMSYS0020734199
5,Haematopota sp. B,NHMSYS0020734200
5,Tabanus spodopterus,NHMSYS0020734206
